Date of activity,Date of reporting,Nation,Pillar,Daily number of tests,Cumulative number of tests,Daily number of people tested,Cumulative number of people tested,Daily number of positive cases,Cumulative number of positive cases,Daily In-person (tests processed),Cumulative In-person (tests processed),Daily Delivery (tests sent out),Cumulative Delivery (tests sent out)
24/03/2020,25/03/2020,UK,Pillar 4,,,,,,,,,,
25/03/2020,26/03/2020,England,Pillar 1,,,5954,84925,1809,9782,,,,
25/03/2020,26/03/2020,Northern Ireland,Pillar 1,,,344,3716,32,241,,,,
25/03/2020,26/03/2020,Scotland,Pillar 1,,,811,11487,175,894,,,,
25/03/2020,26/03/2020,Wales,Pillar 1 & 2,,,738,4738,113,741,,,,
25/03/2020,26/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,7847,104866,2129,11658,,,,
25/03/2020,26/03/2020,UK,Pillar 2 (excluding Wales),,,,,,,,,,
25/03/2020,26/03/2020,UK,Pillar 3,,,,,,,,,,
25/03/2020,26/03/2020,UK,Pillar 4,,,,,,,,,,
26/03/2020,27/03/2020,England,Pillar 1,,,7205,92130,2506,12288,,,,
26/03/2020,27/03/2020,Northern Ireland,Pillar 1,,,298,4014,34,275,,,,
26/03/2020,27/03/2020,Scotland,Pillar 1,,,786,12273,165,1059,,,,
26/03/2020,27/03/2020,Wales,Pillar 1 & 2,,,622,5360,180,921,,,,
26/03/2020,27/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,8911,113777,2885,14543,,,,
26/03/2020,27/03/2020,UK,Pillar 2 (excluding Wales),39,,Unavailable,Unavailable,5,5,,,,
26/03/2020,27/03/2020,UK,Pillar 3,,,,,,,,,,
26/03/2020,27/03/2020,UK,Pillar 4,,,,,,,,,,
27/03/2020,28/03/2020,England,Pillar 1,,,5106,97236,2139,14427,,,,
27/03/2020,28/03/2020,Northern Ireland,Pillar 1,,,272,4286,49,324,,,,
27/03/2020,28/03/2020,Scotland,Pillar 1,,,860,13133,186,1245,,,,
27/03/2020,28/03/2020,Wales,Pillar 1 & 2,,,761,6121,172,1093,,,,
27/03/2020,28/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,6999,120776,2546,17089,,,,
27/03/2020,28/03/2020,UK,Pillar 2 (excluding Wales),75,,Unavailable,Unavailable,10,15,,,,
27/03/2020,28/03/2020,UK,Pillar 3,,,,,,,,,,
27/03/2020,28/03/2020,UK,Pillar 4,,,,,,,,,,
28/03/2020,29/03/2020,England,Pillar 1,,,4908,102144,2060,16487,,,,
28/03/2020,29/03/2020,Northern Ireland,Pillar 1,,,742,5028,86,410,,,,
28/03/2020,29/03/2020,Scotland,Pillar 1,,,756,13889,139,1384,,,,
28/03/2020,29/03/2020,Wales,Pillar 1 & 2,,,555,6676,148,1241,,,,
28/03/2020,29/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,6961,127737,2433,19522,,,,
28/03/2020,29/03/2020,UK,Pillar 2 (excluding Wales),177,,Unavailable,Unavailable,69,84,,,,
28/03/2020,29/03/2020,UK,Pillar 3,,,,,,,,,,
28/03/2020,29/03/2020,UK,Pillar 4,,,,,,,,,,
29/03/2020,30/03/2020,England,Pillar 1,,,5334,107478,2107,18594,,,,
29/03/2020,30/03/2020,Northern Ireland,Pillar 1,,,513,5541,123,533,,,,
29/03/2020,30/03/2020,Scotland,Pillar 1,,,735,14624,179,1563,,,,
29/03/2020,30/03/2020,Wales,Pillar 1 & 2,,,627,7303,210,1451,,,,
29/03/2020,30/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,7209,134946,2619,22141,,,,
29/03/2020,30/03/2020,UK,Pillar 2 (excluding Wales),106,,Unavailable,Unavailable,46,130,,,,
29/03/2020,30/03/2020,UK,Pillar 3,,,,,,,,,,
29/03/2020,30/03/2020,UK,Pillar 4,,,,,,,,,,
30/03/2020,31/03/2020,England,Pillar 1,,,6302,113780,2414,21008,,,,
30/03/2020,31/03/2020,Northern Ireland,Pillar 1,,,344,5885,53,586,,,,
30/03/2020,31/03/2020,Scotland,Pillar 1,,,1271,15895,430,1993,,,,
30/03/2020,31/03/2020,Wales,Pillar 1 & 2,,,323,7626,112,1563,,,,
30/03/2020,31/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,8240,143186,3009,25150,,,,
30/03/2020,31/03/2020,UK,Pillar 2 (excluding Wales),560,,Unavailable,Unavailable,241,371,,,,
30/03/2020,31/03/2020,UK,Pillar 3,,,,,,,,,,
30/03/2020,31/03/2020,UK,Pillar 4,,,,,,,,,,
31/03/2020,01/04/2020,England,Pillar 1,10412,143601,7511,121291,3630,24638,,,,
31/03/2020,01/04/2020,Northern Ireland,Pillar 1,,,565,6450,103,689,,,,
31/03/2020,01/04/2020,Scotland,Pillar 1,,,1112,17007,317,2310,,,,
31/03/2020,01/04/2020,Wales,Pillar 1 & 2,855,9987,605,8231,274,1837,,,,
31/03/2020,01/04/2020,UK,Pillar 1 (plus Pillar 2 for Wales),11267,153588,9793,152979,4324,29474,,,,
31/03/2020,01/04/2020,UK,Pillar 2 (excluding Wales),629,,Unavailable,Unavailable,243,614,,,,
31/03/2020,01/04/2020,UK,Pillar 3,,,,,,,,,,
31/03/2020,01/04/2020,UK,Pillar 4,,0,,,,,,,,
01/04/2020,02/04/2020,England,Pillar 1,10314,153915,7771,129062,3583,28221,,,,
01/04/2020,02/04/2020,Northern Ireland,Pillar 1,,,449,6899,85,774,,,,
01/04/2020,02/04/2020,Scotland,Pillar 1,,,1121,18128,292,2602,,,,
01/04/2020,02/04/2020,Wales,Pillar 1 & 2,942,10929,874,9105,284,2121,,,,
01/04/2020,02/04/2020,UK,Pillar 1 (plus Pillar 2 for Wales),11256,164844,10215,163194,4244,33718,,,,
01/04/2020,02/04/2020,UK,Pillar 2 (excluding Wales),668,,Unavailable,Unavailable,278,892,,,,
01/04/2020,02/04/2020,UK,Pillar 3,,,,,,,,,,
01/04/2020,02/04/2020,UK,Pillar 4,23,139,,,,,23,139,,
02/04/2020,03/04/2020,England,Pillar 1,11764,167171,7651,136713,3576,31797,,,,
02/04/2020,03/04/2020,Northern Ireland,Pillar 1,,,626,7525,130,904,,,,
02/04/2020,03/04/2020,Scotland,Pillar 1,,,1407,19535,399,3001,,,,
02/04/2020,03/04/2020,Wales,Pillar 1 & 2,1090,12019,906,10011,345,2466,,,,
